#{"t_start": 1718792136.0473466, "env_id": "None"}
r,l,t
-163325.0,288,0.198754
-173202.0,299,0.484123
-157807.0,282,0.670993
-174931.0,285,0.849004
-169721.0,273,1.026074
-158494.0,283,1.201394
-158926.0,282,1.374523
-160909.0,281,1.543568
-163056.0,289,1.718232
-167896.0,292,1.895088
-160002.0,282,2.076994
-161789.0,287,2.24946
-166696.0,287,2.428271
-161899.0,287,2.61002
-153754.0,276,2.78999
-159769.0,282,2.968982
-158160.0,269,3.151995
-154245.0,275,3.338007
-159776.0,289,3.536032
-171247.0,292,3.717976
-159551.0,282,3.901094
-168406.0,275,4.079985
-172469.0,277,4.269018
-156681.0,276,4.443068
-170590.0,281,4.615201
-179568.0,301,4.791248
-173105.0,291,4.972224
-173733.0,293,5.157027
-161476.0,288,5.344995
-160348.0,285,5.531983
-175097.0,299,5.719015
-162931.0,283,5.918024
-171621.0,278,6.096996
-160126.0,283,6.275197
-167760.0,285,6.478034
-169961.0,289,6.66202
-163226.0,276,6.847999
-175253.0,290,7.030958
-155575.0,277,7.217957
-157186.0,281,7.392987
-164927.0,290,7.5811
-163723.0,288,7.765011
-154610.0,275,7.945978
-154027.0,273,8.121958
-172597.0,293,8.309005
-173482.0,295,8.501026
-163926.0,287,8.682195
-163297.0,281,8.871009
-175441.0,294,9.051021
-165368.0,283,9.231006
-177673.0,300,9.416079
-171490.0,296,9.59497
-163436.0,287,9.765184
-166880.0,286,9.934151
-165501.0,285,10.102123
-171508.0,288,10.270033
-155680.0,271,10.438997
-168977.0,294,10.704015
-167822.0,286,10.867985
-177607.0,297,11.033997
-167112.0,289,11.201938
-172352.0,296,11.36801
-166203.0,273,11.527162
-157026.0,285,11.695967
-157065.0,283,11.863956
-170662.0,277,12.027998
-160161.0,285,12.192988
-169186.0,288,12.360934
-166254.0,281,12.533972
-159459.0,263,12.70197
-168421.0,293,12.870395
-199395.0,316,13.035223
-179243.0,300,13.203999
-163333.0,277,13.370005
-169880.0,283,13.533966
-161835.0,277,13.698986
-149695.0,278,13.863968
-176054.0,287,14.025991
-157870.0,274,14.185478
-178427.0,296,14.349992
-164447.0,295,14.515989
-168260.0,291,14.679965
-162140.0,278,14.838971
-158652.0,279,14.997975
-155634.0,278,15.161115
-172117.0,287,15.32515
-169428.0,292,15.492161
-159316.0,279,15.670002
-167069.0,289,15.886181
-172565.0,286,16.063452
-154020.0,265,16.239316
-163098.0,285,16.416142
-171189.0,298,16.58814
-160520.0,290,16.754368
-154916.0,274,16.922343
-159697.0,281,17.112369
-159203.0,293,17.31146
-155654.0,277,17.505538
-171385.0,297,17.69254
-176031.0,295,17.892174
-178772.0,290,18.085656
-198196.0,307,18.276147
-193884.0,296,18.462648
-226266.0,333,18.647155
-217636.0,329,18.832998
-189018.0,301,19.009351
-204270.0,306,19.183885
-212426.0,309,19.358418
-223342.0,320,19.532951
-240027.0,342,19.706994
-211403.0,306,19.876074
-224870.0,318,20.13598
-205350.0,302,20.296968
-194815.0,301,20.460989
-190740.0,295,20.623965
-213980.0,315,20.789838
-199175.0,302,20.955484
-219410.0,315,21.12687
-207000.0,320,21.301751
-230327.0,337,21.483843
-201716.0,301,21.659724
-181821.0,293,21.841606
-204813.0,308,22.019155
-209797.0,306,22.208801
-205159.0,311,22.388562
-225215.0,333,22.565956
-229985.0,322,22.737901
-219072.0,313,22.904049
-236751.0,335,23.071566
-211215.0,318,23.239367
-231966.0,330,23.405557
-216088.0,313,23.572026
-220981.0,324,23.737066
-202197.0,299,23.899167
-178787.0,288,24.077996
-192935.0,295,24.259541
-210671.0,313,24.439063
-222027.0,328,24.629858
-186086.0,294,24.819383
-221374.0,325,24.998905
-178388.0,291,25.173435
-232316.0,334,25.357909
-228738.0,331,25.565861
-202960.0,308,25.759752
-218561.0,295,25.938229
-193194.0,309,26.114936
-205903.0,315,26.289098
-219229.0,328,26.482581
-198254.0,306,26.727925
-198509.0,304,26.925917
-184954.0,288,27.112626
-195035.0,302,27.297756
-237556.0,329,27.515612
-210435.0,316,27.736839
-223899.0,317,27.949302
-223623.0,326,28.142785
-205495.0,311,28.329286
-226704.0,320,28.508907
-206207.0,314,28.687522
-226830.0,333,28.865599
-207794.0,298,29.039724
-233045.0,325,29.211733
-200098.0,320,29.434254
-225058.0,325,29.624733
-204469.0,314,29.802894
-227523.0,321,30.06925
-214818.0,324,30.241987
-189933.0,303,30.413951
-237585.0,338,30.592954
-188524.0,303,30.759949
-178994.0,289,30.922393
-196677.0,308,31.08499
-206600.0,315,31.266163
-222166.0,319,31.442682
-226372.0,320,31.613411
-197772.0,306,31.786048
-223293.0,325,31.955011
-215450.0,323,32.178088
-202237.0,313,32.365592
-216298.0,319,32.5511
-220994.0,323,32.739705
-208983.0,304,32.928071
-234667.0,338,33.113539
-238369.0,330,33.28907
-200238.0,313,33.4646
-210643.0,317,33.636141
-218862.0,307,33.806489
-199772.0,303,33.974041
-207962.0,314,34.147471
-216719.0,318,34.314055
-194078.0,301,34.490554
-230817.0,332,34.694491
-216753.0,311,34.887061
-213791.0,314,35.06655
-208838.0,308,35.257065
-221900.0,323,35.434562
-225697.0,317,35.605106
-216583.0,316,35.775652
-204066.0,310,35.943204
-226026.0,322,36.115202
-152281.0,282,38.677879
-176457.0,301,40.195966
-178780.0,300,41.558994
-164007.0,290,42.958176
-174579.0,289,44.315317
-173015.0,286,45.64232
-173066.0,294,47.004121
-190508.0,301,54.992039
-172391.0,293,56.188209
-170053.0,285,57.289209
-162878.0,277,58.33799
-168017.0,291,59.427962
-182237.0,301,60.603852
-162924.0,287,61.686371
-171330.0,292,69.136887
-169724.0,292,70.397524
-166035.0,289,71.556137
-161171.0,288,72.670995
-174387.0,299,73.851067
-177934.0,295,75.009751
-170254.0,289,76.187579
-171740.0,293,83.858184
-183698.0,309,85.089943
-163178.0,291,86.230383
-167753.0,290,87.416132
-155276.0,281,88.531656
-150415.0,273,89.581736
-156159.0,278,90.646861
-163682.0,282,97.769307
-167237.0,278,98.863972
-171744.0,292,99.990772
-174843.0,291,101.104326
-173126.0,286,102.196761
-150579.0,268,103.242033
-157707.0,288,104.324807
-157823.0,279,111.445712
-174416.0,301,112.583402
-164626.0,292,113.715299
-174024.0,302,114.814888
-173891.0,291,115.910201
-179654.0,308,117.027178
-154705.0,268,118.029121
-163729.0,284,124.95684
-176174.0,286,126.036267
-152990.0,274,127.019371
-174750.0,292,128.084822
-166475.0,273,129.091897
-162283.0,282,130.12677
-166178.0,292,131.397268
-178498.0,294,138.238188
-168039.0,284,139.33317
-178111.0,297,140.409966
-161439.0,278,141.423826
-164681.0,271,142.413876
-168213.0,281,143.426838
-159309.0,280,144.451268
-158896.0,284,151.350818
-169045.0,285,152.686579
-175377.0,288,153.803533
-175023.0,294,154.831482
-164102.0,286,156.066969
-167577.0,289,157.259392
-169433.0,284,158.476003
-160370.0,276,159.560266
-171872.0,286,166.554601
-173289.0,287,167.677273
-172242.0,294,168.868961
-162851.0,277,169.924423
-178887.0,293,171.115172
-160923.0,284,172.329202
-175216.0,298,173.465917
-163624.0,285,180.147017
-184303.0,294,181.395845
-191635.0,313,182.543878
-160456.0,280,183.603125
-159351.0,276,184.660815
-146503.0,271,185.660517
-171905.0,291,186.769425
-176987.0,292,193.125534
-163395.0,289,194.160413
-166315.0,286,195.151855
-157792.0,279,196.169718
-171569.0,297,197.213168
-158068.0,281,198.225218
-166381.0,294,199.271844
-174664.0,294,205.78514
-161086.0,275,206.863717
-170117.0,286,207.996583
-160688.0,278,209.10779
-161284.0,284,210.249785
-168839.0,282,211.368727
-175284.0,297,212.562836
-171040.0,292,220.870724
-176643.0,294,222.326721
-156090.0,279,223.958322
-168325.0,288,225.508299
-170231.0,285,227.249653
-170819.0,291,228.832929
-157554.0,274,230.170631
-167964.0,283,239.293201
-156915.0,289,240.829347
-171407.0,292,242.319008
-175205.0,282,243.680372
-156661.0,277,245.030412
-172431.0,286,246.421441
-165802.0,281,247.823372
-161320.0,282,256.38129
-163153.0,284,257.763285
-166356.0,291,259.041861
-160740.0,288,260.28006
-158389.0,291,261.560089
-165715.0,278,262.700822
-167799.0,285,264.05011
-151351.0,274,265.180773
-162549.0,289,273.248393
-165134.0,289,274.534344
-176268.0,304,275.883745
-164545.0,285,277.068025
-176699.0,306,278.264169
-150759.0,279,279.385894
-167696.0,285,280.594873
-175404.0,290,288.737683
-186773.0,296,290.038606
-170328.0,286,291.271357
-165367.0,278,292.455365
-171932.0,290,293.631317
-158707.0,282,294.970375
-162507.0,278,296.420135
-167972.0,281,305.303868
-184531.0,303,306.644985
-155625.0,278,307.887573
-166105.0,283,309.183064
-177077.0,296,310.565161
-155127.0,264,311.724745
-174476.0,289,312.941592
-174051.0,291,321.609332
-176018.0,302,322.983342
-173827.0,292,324.489325
-159593.0,281,325.83634
-168304.0,288,327.172148
-174670.0,294,328.459645
-173914.0,290,329.754535
-158682.0,277,338.394402
-169912.0,288,339.725157
-173110.0,301,341.14025
-190495.0,303,342.603278
-169042.0,297,343.901878
-174319.0,291,345.237321
-180377.0,303,346.822835
-175520.0,292,355.606971
-172655.0,290,356.938196
-156474.0,275,358.081788
-187255.0,298,359.315019
-158046.0,281,360.488566
-164066.0,288,361.782943
-163849.0,277,362.928093
-164086.0,284,370.913301
-151791.0,270,372.145333
-167294.0,286,373.356177
-168364.0,294,374.652227
-174378.0,289,375.835935
-169102.0,282,376.976694
-172647.0,293,378.174945
-168682.0,278,385.8309
-173054.0,279,387.139186
-168492.0,292,388.559145
-173410.0,286,389.948643
-162820.0,281,391.205779
-167704.0,285,392.672628
-155030.0,288,394.148707
-173405.0,287,395.631142
-164914.0,275,404.090163
-173168.0,300,405.344576
-181142.0,299,406.749788
-178762.0,295,407.981064
-159288.0,283,409.163749
-166612.0,297,410.388765
-161799.0,283,411.545357
-174477.0,292,419.363312
-178443.0,291,420.548296
-162239.0,283,421.729153
-180045.0,294,422.889287
-169943.0,285,424.024946
-169115.0,289,425.184185
-181516.0,298,426.356589
-175513.0,300,433.717681
-174605.0,296,434.951901
-166205.0,289,436.247062
-163525.0,281,437.50712
-164424.0,297,438.813372
-167656.0,285,439.943517
-161814.0,286,441.16939
-186051.0,302,448.563605
-168605.0,289,449.690576
-157781.0,277,450.79551
-168036.0,290,451.939562
-174072.0,294,453.084537
-161922.0,287,454.216547
-171817.0,293,455.349815
-162836.0,274,462.319195
-173403.0,299,463.428573
-155829.0,278,464.605153
-155064.0,284,465.69451
-164828.0,280,466.804717
-171602.0,291,467.919639
-165452.0,278,469.000574
-183600.0,300,476.455567
-165402.0,286,477.64965
-172131.0,293,478.926712
-161793.0,283,480.113499
-175648.0,299,481.395552
-171875.0,293,482.95523
-154261.0,268,484.405692
-156694.0,269,493.090005
-173478.0,295,494.724647
-163548.0,293,496.178678
-162339.0,285,497.507493
-159024.0,276,498.84575
-154425.0,276,500.307703
-173204.0,289,501.598936
-150436.0,277,510.53864
-165200.0,283,512.547711
-173263.0,289,514.205894
-173728.0,306,515.928192
-170642.0,288,517.43871
-167163.0,286,518.805758
-157749.0,270,520.177492
-153582.0,282,521.538653
-165579.0,287,530.372491
-159040.0,277,532.064626
-168238.0,286,533.600304
-170782.0,286,535.088126
-168981.0,289,536.689664
-157094.0,280,538.255429
-168274.0,289,539.771882
-164517.0,281,549.077097
-148990.0,274,550.713738
-163870.0,284,552.099618
-155358.0,282,553.587686
-159970.0,281,555.056475
-162008.0,286,556.517002
-171515.0,291,557.919322
-166231.0,288,566.880517
-156090.0,270,567.984584
-156843.0,281,569.101488
-165410.0,282,570.182462
-154090.0,270,571.246461
-175538.0,290,572.435503
-172710.0,299,573.840789
-169203.0,291,581.865488
-159956.0,274,583.249654
-162234.0,274,584.454029
-164066.0,278,585.605151
-174714.0,285,586.80813
-168449.0,292,588.006289
-158948.0,278,589.156329
-179179.0,299,597.332488
-172504.0,289,598.682426
-152738.0,282,599.879422
-154654.0,274,600.983418
-170974.0,296,602.170424
-156604.0,260,603.227354
-162812.0,284,604.349439
-175404.0,292,605.540768
-165784.0,286,613.457594
-158322.0,285,614.646414
-179085.0,296,615.791505
-146699.0,277,616.899549
-177830.0,298,618.08411
-156147.0,270,619.255581
-170523.0,288,620.569658
-172255.0,284,628.314721
-168778.0,282,629.77643
-182375.0,297,631.100681
-184337.0,305,632.335359
-169669.0,288,633.443334
-179667.0,302,634.640431
-184472.0,308,635.916728
-178303.0,293,644.167004
-178373.0,297,645.498603
-163147.0,282,646.833396
-166441.0,283,648.005598
-179344.0,300,649.184392
-164599.0,283,650.296417
-165281.0,283,651.464113
-165490.0,276,659.269312
-180403.0,304,660.558979
-164093.0,286,661.726399
-174864.0,299,662.904752
-160596.0,284,663.991424
-162538.0,282,665.123508
-176598.0,297,666.291851
-160572.0,274,673.814484
-160019.0,275,674.966739
-160332.0,284,676.117223
-182921.0,300,677.419993
-180943.0,303,678.645634
-182337.0,292,679.82808
-166669.0,290,681.003126
-168909.0,288,688.637244
-166506.0,284,689.81837
-171874.0,285,690.970409
-165079.0,282,692.101364
-177223.0,299,693.273481
-171638.0,284,694.405529
-182710.0,291,695.537352
-160070.0,287,703.164938
-172631.0,290,704.451156
-169838.0,299,705.688362
-169894.0,286,706.765409
-173760.0,293,707.886289
-169580.0,285,709.007183
-182140.0,304,710.188296
-162171.0,283,717.422333
-164510.0,280,718.531361
-159109.0,282,719.67199
-168416.0,288,721.011532
-173935.0,292,722.161252
-170934.0,290,723.409381
-162750.0,275,724.621499
-170239.0,292,732.09744
-192958.0,310,733.38535
-154728.0,273,734.488392
-175484.0,292,735.70193
-168344.0,291,736.862174
-161766.0,292,738.127342
-167181.0,287,739.29537
-169098.0,289,746.714326
-166365.0,282,748.210605
-162222.0,276,750.056621
-168304.0,287,751.592511
-161157.0,281,753.001559
-158150.0,279,754.221489
-163414.0,286,755.406885
-177604.0,297,756.535285
-155682.0,280,764.216291
-152805.0,270,765.356298
-177060.0,293,766.517314
-160927.0,277,767.592263
-154912.0,278,768.669314
-165546.0,279,769.790294
-178357.0,294,770.983268
-165701.0,287,778.574186
-162639.0,281,779.745295
-176308.0,302,780.923214
-167448.0,283,781.99133
-176596.0,296,783.126341
-173989.0,293,784.295278
-163071.0,289,785.449368
-157068.0,278,792.898282
